study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
tiger,,0,0,0,1,,,,,0.09713240014389157,,0.014611300081014633,0.09713240014389157,0.09713240014389157,1.7268868000246584,3.1814814814814816,1.6640168998856097,,,,,,,,,,,,,,,478190,001,2024-11-07_20h50.26.906,word priming,2024.1.5,None,2024-11-07 20h50.48.429867 +0530,
vase,,0,1,1,0,,,,,1.7821865000296384,,1.7278624000027776,1.7821865000296384,1.7821865000296384,3.0905665000900626,1.7444444444444445,1.3087236999999732,,,,,,,,,,,,,,,478190,001,2024-11-07_20h50.26.906,word priming,2024.1.5,None,2024-11-07 20h50.48.429867 +0530,
book,,0,2,2,2,,,,,3.129273100057617,,3.0913370000198483,3.129273100057617,3.129273100057617,4.278538000071421,1.9074074074074074,1.1424008999019861,,,,,,,,,,,,,,,478190,001,2024-11-07_20h50.26.906,word priming,2024.1.5,None,2024-11-07 20h50.48.429867 +0530,
piano,,0,3,3,4,,,,,4.32879490009509,,4.279267400037497,4.32879490009509,4.32879490009509,5.566335800103843,2.011111111111111,1.23349229991436,,,,,,,,,,,,,,,478190,001,2024-11-07_20h50.26.906,word priming,2024.1.5,None,2024-11-07 20h50.48.429867 +0530,
cushion,,0,4,4,3,,,,,5.619323000079021,,5.56701310002245,5.619323000079021,5.619323000079021,6.980607500066981,2.214814814814815,1.3532203999347985,,,,,,,,,,,,,,,478190,001,2024-11-07_20h50.26.906,word priming,2024.1.5,None,2024-11-07 20h50.48.429867 +0530,
,o_a_g_,,,,,0,0,0,9,7.054864400066435,,,,,,,,6.998620999976993,7.054864400066435,7.054864400066435,7.054864400066435,0.028379999799653888,16.99328720010817,,[],[],[],[],[],[],[],478190,001,2024-11-07_20h50.26.906,word priming,2024.1.5,None,2024-11-07 20h50.48.429867 +0530,
,c_s_i_n,,,,,0,1,1,3,17.02597999991849,,,,,,,,16.99588629999198,17.02597999991849,17.02597999991849,17.02597999991849,0.02041639992967248,24.68669220013544,coushion,[-0.1962962962962963],[-0.3175925925925926],[1],[0],[0],[7.683702299837023],[],478190,001,2024-11-07_20h50.26.906,word priming,2024.1.5,None,2024-11-07 20h50.48.429867 +0530,
,_p_a_d_,,,,,0,2,2,7,24.725443999981508,,,,,,,,24.68871739995666,24.725443999981508,24.725443999981508,24.725443999981508,0.013754399958997965,34.70294480002485,,[],[],[],[],[],[],[],478190,001,2024-11-07_20h50.26.906,word priming,2024.1.5,None,2024-11-07 20h50.48.429867 +0530,
,_o_s_,,,,,0,3,3,8,34.72776870010421,,,,,,,,34.70443459996022,34.72776870010421,34.72776870010421,34.72776870010421,0.021308100083842874,41.45929990010336,mose,[-0.1962962962962963],[-0.3175925925925926],[1],[0],[0],[6.748338600154966],[],478190,001,2024-11-07_20h50.26.906,word priming,2024.1.5,None,2024-11-07 20h50.48.429867 +0530,
,_oo_,,,,,0,4,4,2,41.50040820008144,,,,,,,,41.46326129999943,41.50040820008144,41.50040820008144,41.50040820008144,0.011228699935600162,44.70531490002759,book,[-0.1962962962962963],[-0.3175925925925926],[1],[0],[0],[3.2300601999741048],[],478190,001,2024-11-07_20h50.26.906,word priming,2024.1.5,None,2024-11-07 20h50.48.429867 +0530,
,t_g_r,,,,,0,5,5,1,44.7389185000211,,,,,,,,44.70750980009325,44.7389185000211,44.7389185000211,44.7389185000211,0.008118300000205636,48.09824560000561,tiger,[-0.1962962962962963],[-0.3175925925925926],[1],[0],[0],[3.381857599830255],[],478190,001,2024-11-07_20h50.26.906,word priming,2024.1.5,None,2024-11-07 20h50.48.429867 +0530,
,_i_n_,,,,,0,6,6,4,48.132959299953654,,,,,,,,48.10024500009604,48.132959299953654,48.132959299953654,48.132959299953654,0.009292600210756063,54.57400149991736,think,[-0.1962962962962963],[-0.3175925925925926],[1],[0],[0],[6.462733099935576],[],478190,001,2024-11-07_20h50.26.906,word priming,2024.1.5,None,2024-11-07 20h50.48.429867 +0530,
,_ea_o_,,,,,0,7,7,5,54.64279940002598,,,,,,,,54.58088600006886,54.64279940002598,54.64279940002598,54.64279940002598,0.01624300004914403,61.1802228000015,peacock,[-0.1962962962962963],[-0.3175925925925926],[1],[0],[0],[6.582652000011876],[],478190,001,2024-11-07_20h50.26.906,word priming,2024.1.5,None,2024-11-07 20h50.48.429867 +0530,
,_a_e,,,,,0,8,8,0,61.2156919001136,,,,,,,,61.182486900128424,61.2156919001136,61.2156919001136,61.2156919001136,0.007894099922850728,64.12114670011215,vase,[-0.1962962962962963],[-0.3175925925925926],[1],[0],[0],[2.929873100016266],[],478190,001,2024-11-07_20h50.26.906,word priming,2024.1.5,None,2024-11-07 20h50.48.429867 +0530,
,c_m_r,,,,,0,9,9,6,64.1578117001336,,,,,,,,64.12486360012554,64.1578117001336,64.1578117001336,64.1578117001336,0.007199500221759081,67.875706900144,camera,[-0.1962962962962963],[-0.3175925925925926],[1],[0],[0],[3.7429929999634624],[],478190,001,2024-11-07_20h50.26.906,word priming,2024.1.5,None,2024-11-07 20h50.48.429867 +0530,
