study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,text.stopped,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
case,,0,0,0,10,,,,,0.07650279998779297,,0.01239980012178421,0.07650279998779297,0.07650279998779297,8.092192200012505,10.555766799952835,1.1888888888888889,10.513058099895716,,,,,,,,,,,,,,,694758,001,2024-11-07_20h57.30.651,word priming,2024.1.5,None,2024-11-07 20h57.41.043422 +0530,
cushion,,0,1,1,1,,,,,10.587296700105071,,10.556322199990973,10.587296700105071,10.587296700105071,,11.683627000078559,1.1888888888888889,1.0967628001235425,,,,,,,,,,,,,,,694758,001,2024-11-07_20h57.30.651,word priming,2024.1.5,None,2024-11-07 20h57.41.043422 +0530,
police,,0,2,2,12,,,,,11.712281099986285,,11.68399569997564,11.712281099986285,11.712281099986285,,12.801805899944156,1.6555555555555554,1.0812472999095917,,,,,,,,,,,,,,,694758,001,2024-11-07_20h57.30.651,word priming,2024.1.5,None,2024-11-07 20h57.41.043422 +0530,
keys,,0,3,3,13,,,,,12.833013799972832,,12.802407999988645,12.833013799972832,12.833013799972832,,14.260696599958465,2.3074074074074074,1.420187700074166,,,,,,,,,,,,,,,694758,001,2024-11-07_20h57.30.651,word priming,2024.1.5,None,2024-11-07 20h57.41.043422 +0530,
board,,0,4,4,4,,,,,14.293917699949816,,14.261411600047722,14.293917699949816,14.293917699949816,,16.865076699992642,2.425925925925926,2.573023699922487,,,,,,,,,,,,,,,694758,001,2024-11-07_20h57.30.651,word priming,2024.1.5,None,2024-11-07 20h57.41.043422 +0530,
book,,0,5,5,0,,,,,16.891328900121152,,16.865482999943197,16.891328900121152,16.891328900121152,,17.76980119990185,2.425925925925926,0.8781703999266028,,,,,,,,,,,,,,,694758,001,2024-11-07_20h57.30.651,word priming,2024.1.5,None,2024-11-07 20h57.41.043422 +0530,
poster,,0,6,6,14,,,,,17.79670329997316,,17.77023130003363,17.79670329997316,17.79670329997316,,19.38011429994367,2.888888888888889,1.5833621001802385,,,,,,,,,,,,,,,694758,001,2024-11-07_20h57.30.651,word priming,2024.1.5,None,2024-11-07 20h57.41.043422 +0530,
laptop,,0,7,7,5,,,,,19.407924300059676,,19.38047829992138,19.407924300059676,19.407924300059676,,21.08396410010755,1.8407407407407408,1.6760505998972803,,,,,,,,,,,,,,,694758,001,2024-11-07_20h57.30.651,word priming,2024.1.5,None,2024-11-07 20h57.41.043422 +0530,
chart,,0,8,8,6,,,,,21.11270450009033,,21.084317500004545,21.11270450009033,21.11270450009033,,22.544206199934706,3.6333333333333333,1.4320386999752373,,,,,,,,,,,,,,,694758,001,2024-11-07_20h57.30.651,word priming,2024.1.5,None,2024-11-07 20h57.41.043422 +0530,
pastry,,0,9,9,9,,,,,22.571696399943903,,22.5445950999856,22.571696399943903,22.571696399943903,,23.517935199895874,3.6333333333333333,0.9445565000642091,,,,,,,,,,,,,,,694758,001,2024-11-07_20h57.30.651,word priming,2024.1.5,None,2024-11-07 20h57.41.043422 +0530,
T-shirt,,0,10,10,7,,,,,23.551451199920848,,23.518345500109717,23.551451199920848,23.551451199920848,,24.50813649990596,3.6333333333333333,0.955389300128445,,,,,,,,,,,,,,,694758,001,2024-11-07_20h57.30.651,word priming,2024.1.5,None,2024-11-07 20h57.41.043422 +0530,
marble,,0,11,11,3,,,,,24.53561619995162,,24.508595899911597,24.53561619995162,24.53561619995162,,25.59177769999951,3.6333333333333333,1.056285300059244,,,,,,,,,,,,,,,694758,001,2024-11-07_20h57.30.651,word priming,2024.1.5,None,2024-11-07 20h57.41.043422 +0530,
