study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,text.stopped,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
marble,,0,0,0,3,,,,,0.07920149993151426,,0.013380699791014194,0.07920149993151426,0.07920149993151426,3.6153098999056965,4.948148148148148,3.5523735999595374,,,,,,,,,,,,,,,,824783,001,2024-11-07_20h57.30.197,word priming,2024.1.5,None,2024-11-07 21h00.15.878225 +0530,
phone,,0,1,1,2,,,,,3.665779799921438,,3.616279299836606,3.665779799921438,3.665779799921438,5.351283799856901,1.9,1.6864407998509705,,,,,,,,,,,,,,,,824783,001,2024-11-07_20h57.30.197,word priming,2024.1.5,None,2024-11-07 21h00.15.878225 +0530,
book,,0,2,2,0,,,,,5.381178999785334,,5.351939899846911,5.381178999785334,5.381178999785334,6.610624099848792,2.2888888888888888,1.2218113001435995,,,,,,,,,,,,,,,,824783,001,2024-11-07_20h57.30.197,word priming,2024.1.5,None,2024-11-07 21h00.15.878225 +0530,
keys,,0,3,3,13,,,,,6.6407416998408735,,6.611233699833974,6.6407416998408735,6.6407416998408735,7.584350599907339,2.2888888888888888,0.9411273000296205,,,,,,,,,,,,,,,,824783,001,2024-11-07_20h57.30.197,word priming,2024.1.5,None,2024-11-07 21h00.15.878225 +0530,
police,,0,4,4,12,,,,,7.612321899970993,,7.584942699875683,7.612321899970993,7.612321899970993,9.18583959992975,3.403703703703704,1.5708471001125872,,,,,,,,,,,,,,,,824783,001,2024-11-07_20h57.30.197,word priming,2024.1.5,None,2024-11-07 21h00.15.878225 +0530,
mouse,,0,5,5,8,,,,,9.211426799884066,,9.186204499797896,9.211426799884066,9.211426799884066,112.63951929984614,1.8407407407407408,103.42588620004244,17.2171525999438,,,,,,,,,,,,,,,824783,001,2024-11-07_20h57.30.197,word priming,2024.1.5,None,2024-11-07 21h00.15.878225 +0530,
T-shirt,,0,6,6,7,,,,,112.66935779992491,,112.63996459986083,112.66935779992491,112.66935779992491,114.79458169988357,3.477777777777778,2.124678699998185,,,,,,,,,,,,,,,,824783,001,2024-11-07_20h57.30.197,word priming,2024.1.5,None,2024-11-07 21h00.15.878225 +0530,
laptop,,0,7,7,5,,,,,114.82075009983964,,114.79494139994495,114.82075009983964,114.82075009983964,116.14561049989425,2.137037037037037,1.3238672998268157,,,,,,,,,,,,,,,,824783,001,2024-11-07_20h57.30.197,word priming,2024.1.5,None,2024-11-07 21h00.15.878225 +0530,
case,,0,8,8,10,,,,,116.17293469980359,,116.1460822999943,116.17293469980359,116.17293469980359,116.90386369987391,2.137037037037037,0.7303083001170307,,,,,,,,,,,,,,,,824783,001,2024-11-07_20h57.30.197,word priming,2024.1.5,None,2024-11-07 21h00.15.878225 +0530,
board,,0,9,9,4,,,,,116.9337776999455,,116.9042403998319,116.9337776999455,116.9337776999455,118.48949750000611,2.466666666666667,1.5559336999431252,,,,,,,,,,,,,,,,824783,001,2024-11-07_20h57.30.197,word priming,2024.1.5,None,2024-11-07 21h00.15.878225 +0530,
cushion,,0,10,10,1,,,,,118.51563859987073,,118.49012999981642,118.51563859987073,118.51563859987073,119.30195929994807,2.466666666666667,0.7859791000373662,,,,,,,,,,,,,,,,824783,001,2024-11-07_20h57.30.197,word priming,2024.1.5,None,2024-11-07 21h00.15.878225 +0530,
poster,,0,11,11,14,,,,,119.32808139990084,,119.30236530001275,119.32808139990084,119.32808139990084,121.83660499984398,1.5074074074074073,2.509064800105989,,,,,,,,,,,,,,,,824783,001,2024-11-07_20h57.30.197,word priming,2024.1.5,None,2024-11-07 21h00.15.878225 +0530,
cruise,,0,12,12,11,,,,,121.86349279992282,,121.83720599999651,121.86349279992282,121.86349279992282,124.20043189986609,4.011111111111111,2.335815600119531,,,,,,,,,,,,,,,,824783,001,2024-11-07_20h57.30.197,word priming,2024.1.5,None,2024-11-07 21h00.15.878225 +0530,
pastry,,0,13,13,9,,,,,124.22763989982195,,124.20087209995836,124.22763989982195,124.22763989982195,125.62887579994276,3.8,1.3999861001502723,,,,,,,,,,,,,,,,824783,001,2024-11-07_20h57.30.197,word priming,2024.1.5,None,2024-11-07 21h00.15.878225 +0530,
chart,,0,14,14,6,,,,,125.65778209990822,,125.62938029994257,125.65778209990822,125.65778209990822,127.29223999986425,2.088888888888889,1.6282623999286443,,,,,,,,,,,,,,,,824783,001,2024-11-07_20h57.30.197,word priming,2024.1.5,None,2024-11-07 21h00.15.878225 +0530,
,_i_n_,,,,,0,0,0,4,127.32479529990815,,,,,,,,,127.30144019983709,127.32479529990815,127.32479529990815,127.32479529990815,0.01366289984434843,134.721475899918,"ink
",[-0.11481481481481481],[-0.17592592592592593],[1],[0],[0],[7.414611199870706],[],824783,001,2024-11-07_20h57.30.197,word priming,2024.1.5,None,2024-11-07 21h00.15.878225 +0530,
,_p_a_d_,,,,,0,1,1,7,134.74025819986127,,,,,,,,,134.72294919984415,134.74025819986127,134.74025819986127,134.74025819986127,0.00327109987847507,139.45992009993643,keypad,[-0.11481481481481481],[-0.17592592592592593],[1],[0],[0],[4.7332709999755025],[],824783,001,2024-11-07_20h57.30.197,word priming,2024.1.5,None,2024-11-07 21h00.15.878225 +0530,
